"module name","licenses","repository","licenseUrl","parents"
"window-size@0.1.0","MIT","https://github.com/jonschlinkert/window-size","https://github.com/jonschlinkert/window-size/blob/master/LICENSE-MIT","UNDEFINED"
"window-size@0.2.0","MIT","https://github.com/jonschlinkert/window-size","https://github.com/jonschlinkert/window-size/raw/master/LICENSE","UNDEFINED"
"wordwrap@0.0.2","MIT/X11","https://github.com/substack/node-wordwrap","https://github.com/substack/node-wordwrap","UNDEFINED"
"wordwrap@0.0.3","MIT","https://github.com/substack/node-wordwrap","https://github.com/substack/node-wordwrap/raw/master/LICENSE","UNDEFINED"
"wrap-ansi@2.1.0","MIT","https://github.com/chalk/wrap-ansi","https://github.com/chalk/wrap-ansi/raw/master/license","UNDEFINED"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy","https://github.com/npm/wrappy/raw/master/LICENSE","UNDEFINED"
"xml-char-classes@1.0.0","MIT","https://github.com/sindresorhus/xml-char-classes","https://github.com/sindresorhus/xml-char-classes","UNDEFINED"
"xtend@4.0.1","MIT","https://github.com/Raynos/xtend","https://github.com/Raynos/xtend/raw/master/LICENCE","UNDEFINED"
"y18n@3.2.1","ISC","https://github.com/yargs/y18n","https://github.com/yargs/y18n/raw/master/LICENSE","UNDEFINED"
"yallist@2.1.2","ISC","https://github.com/isaacs/yallist","https://github.com/isaacs/yallist/raw/master/LICENSE","UNDEFINED"
"yargs-parser@2.4.1","ISC","https://github.com/yargs/yargs-parser","https://github.com/yargs/yargs-parser/raw/master/LICENSE.txt","UNDEFINED"
"yargs@3.10.0","MIT","http://github.com/bcoe/yargs","http://github.com/bcoe/yargs/raw/master/LICENSE","UNDEFINED"
"yargs@4.8.1","MIT","http://github.com/yargs/yargs","http://github.com/yargs/yargs/raw/master/LICENSE","UNDEFINED"
